IBTrACS -- Version: v03r10
Serial_Num,Season,Num,Basin,Sub_basin
N/A,Year,#,BB,BB
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009317S10073,2010,01, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009325S12066,2010,02, SI, MM
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, WA
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
2009337S07096,2010,03, SI, MM
